phone_number,name,full_address,latitude,longitude,review_count,rating,website,types,city,verified,country,country_corrected,open_info,cluster_type,distance_to_centroid
1,Police Scotland,1,55.8686836,-4.119119599999999,32.0,4.4,1,Police station,Glasgow,True,United Kingdom,United Kingdom,0,50,0.5116089341217905
1,Peter Lougheed Provincial Park,1,50.6823209,-115.1935357,1000.0,4.8,1,"State park, Tourist attraction",Kananaskis,True,"AB, Canada",Canada,1,431,1.6038809505983636
1,Sheikh Khalifa Medical City Ajman (SKMCA),1,25.4173836,55.4960468,272.0,3.3,0,Hospital,Ajman,True,United Arab Emirates,United Arab Emirates,1,7,0.29660896402730264
1,Baird & Warner - Far Northwest Suburban,1,42.229132,-88.32851939999999,13.0,3.8,1,"Real estate agency, Real estate consultant",Crystal Lake,True,IL,USA,1,42,1.1127387050594655
0,Al-Shiokh Mosque,1,25.3577387,55.385822,2.0,5.0,0,Mosque,Sharjah,False,United Arab Emirates,United Arab Emirates,0,447,0.29500693309149584
1,FastCar Cars Rental,1,25.3968519,55.4410029,24.0,4.8,1,Car rental agency,Ajman,True,United Arab Emirates,United Arab Emirates,1,213,0.2959610203265874
1,Al Abrah Clinic,1,25.2691311,55.2946463,177.0,4.8,1,"Dentist, Cosmetic dentist, Dental clinic, Dental implants periodontist, Medical Center, Emergency dental service, Endodontist, Home health care service, Orthodontist, Skin care clinic",Dubai,True,United Arab Emirates,United Arab Emirates,1,48,0.29303675398791007
1,Skyguide Reisebüro,1,50.1080429,8.665649,1.0,5.0,0,Travel agency,Frankfurt,False,Germany,Germany,0,13,0.3017828911153641
1,First International Specialized Vehicles Trading LLC - Electrical Carts | Golf Carts in UAE,1,25.3137459,55.4395003,71.0,4.8,1,"Car dealer, Auto machine shop, Golf cart dealer",Sharjah,True,United Arab Emirates,United Arab Emirates,1,8,0.29457872451552514
0,Pathan Parking,1,25.244847,55.3127579,32.0,4.4,0,Parking garage,Dubai,False,United Arab Emirates,United Arab Emirates,0,226,0.2927341215489338
0,Al Jawhara Bakery,1,25.37842,55.466008,12.0,4.2,0,Bakery,Ajman,False,United Arab Emirates,United Arab Emirates,1,445,0.2957963121570313
1,Gourmet Corner Restaurant & Cafe,1,25.1621257,55.4621549,12.0,5.0,0,"Cafe, Restaurant",Dubai,True,United Arab Emirates,United Arab Emirates,1,426,0.29220244218276953
1,"Sharjah Islamic Bank, American University of Sharjah",1,25.310544,55.491305,24.0,3.2,1,Bank,Sharjah,True,United Arab Emirates,United Arab Emirates,1,203,0.29481765669253884
0,sharjah Municipality camp mosque,1,25.3086028,55.43175,6.0,4.5,0,Mosque,Sharjah,False,United Arab Emirates,United Arab Emirates,0,447,0.29445026943733155
0,Dubai Chamber Parking Building,1,25.2597579,55.3160304,32.0,4.4,1,Parking garage,Dubai,False,United Arab Emirates,United Arab Emirates,1,226,0.2929990859446798
0,Statewide Roofing Specialist,1,35.747283,-80.4734763,2.0,5.0,1,Roofing contractor,Salisbury,True,NC,USA,1,338,0.9543824548743699
1,Van Miltenburg Dakbedekkingen,1,52.1098667,5.0466222,2.0,1.0,1,Roofing contractor,Utrecht,False,Netherlands,Netherlands,0,338,0.3556490195145418
1,OYO Hotel & Casino,1,36.1003899,-115.1677237,1000.0,3.5,1,"Casino, Bar, Hotel, Resort hotel, Restaurant",Las Vegas,True,NV,USA,0,132,1.554742552488253
1,Simmons-Rockwell Nissan,1,42.1626225,-76.8678264,609.0,4.5,1,"Nissan dealer, Used car dealer, Used truck dealer",Horseheads,True,NY,USA,1,179,0.9202785902356128
1,Orlando Sports LLC - Maktoum Branch,1,25.2662074,55.3111461,29.0,4.0,1,Sportswear store,Dubai,True,United Arab Emirates,United Arab Emirates,1,281,0.29307900106406587
1,allday minimart Marsa Plaza,1,25.2316563,55.3471504,4.0,3.0,0,"Convenience store, Supermarket",Dubai,True,United Arab Emirates,United Arab Emirates,1,427,0.29270596401092747
1,Emirates Post - DAFZA Post Office,1,25.2601178,55.3719385,19.0,4.3,1,"Post office, Courier service, Delivery service, Mailbox rental service, Mailing service, Shipping and mailing service, Shipping service",Dubai,True,United Arab Emirates,United Arab Emirates,1,124,0.29331458537867894
1,Lets Serve,1,25.2857343,55.3601628,10.0,4.8,1,"Painter, Carpet cleaning service, Commercial cleaning service, Dry cleaner, Electrician, House cleaning service, Cleaners, Plumber, Upholstery cleaning service, Window cleaning service",Dubai,True,United Arab Emirates,United Arab Emirates,1,304,0.2936730507798408
1,Domino's Pizza - Ittihad,1,25.3039228,55.3711952,170.0,3.9,1,"Pizza restaurant, Chicken wings restaurant, Fast food restaurant, Pizza delivery, Pizza Takeout, Restaurant",Sharjah,True,United Arab Emirates,United Arab Emirates,1,133,0.2940352323083159
1,Lebanese Home Furniture البيت اللبناني للمفروشات,1,25.339462,55.4015297,12.0,4.8,1,"Furniture store, Bedroom furniture store, Curtain store, Furniture accessories, Furniture maker, Furniture manufacturer, Furniture wholesaler, Interior designer, Office furniture store, Wallpaper store",Sharjah,True,United Arab Emirates,United Arab Emirates,1,61,0.2947917943820401
1,Western Auto Right Hand Drive - Import - Export Japnese 4x4 RHD Cars in Dubai,1,25.18199,55.568418,11.0,4.3,0,"Car dealer, Honda dealer, Lexus dealer, Porsche dealer, Toyota dealer",Dubai,False,United Arab Emirates,United Arab Emirates,1,179,0.29313822545604373
1,Asiana Hotel Dubai,1,25.2697483,55.3250723,1000.0,4.3,1,Hotel,Dubai,True,United Arab Emirates,United Arab Emirates,0,132,0.2932143734135464
1,Bookstore Riemer formerly the General Bookstore,1,52.1855589,5.3972456,193.0,4.5,1,Book store,Amersfoort,True,Netherlands,Netherlands,1,20,0.3493999274143941
1,JH Totaal Schilderwerken,0,52.190951,5.2795551,32.0,4.4,1,"Painter, Service establishment",Dubai,True,United Arab Emirates,United Arab Emirates,1,81,0.3514164399126044
1,A&K Dakwerken,1,52.1679528,5.2903765,13.0,5.0,1,Roofing contractor,Soest,True,Netherlands,Netherlands,1,338,0.35129016100121657
1,"NMC Medical Centre, Deira",1,25.2766269,55.3460609,1000.0,4.5,1,Medical Center,Dubai,True,United Arab Emirates,United Arab Emirates,1,170,0.293444208704605
1,Al Muttawa Real Estate,1,25.276699,55.345639,32.0,4.4,0,Real estate agency,Dubai,False,United Arab Emirates,United Arab Emirates,0,42,0.2934430677375035
1,"Al Salam Mosque, Masjid, مسجد",1,25.3315224,55.3949624,155.0,4.6,1,Mosque,Sharjah,False,United Arab Emirates,United Arab Emirates,1,447,0.2946239135372487
1,Shoe Dept.,1,42.8018755,-77.786112,103.0,4.0,1,"Shoe store, Fashion accessories store",Geneseo,True,NY,USA,1,182,0.9389628749316009
1,wallpainterdubai,0,25.0760224,55.227488,32.0,4.4,1,"Painter, Service establishment, Metal polishing service, Painting, Wallpaper store",Dubai,True,United Arab Emirates,United Arab Emirates,1,81,0.28946876659136994
1,Gall & Gall | Utrecht | Godebaldkwartier 94,1,52.0898865,5.1127556,92.0,4.4,1,"Liquor store, Wine store",Utrecht,True,Netherlands,Netherlands,1,191,0.35456165912441495
1,Mediterranean Aviation Service,1,25.330659,55.4979742,32.0,4.4,1,Airline,Sharjah,False,United Arab Emirates,United Arab Emirates,0,389,0.29518750461254434
1,Famous Footwear Outlet,1,36.1629499,-115.1579395,306.0,4.2,1,"Shoe store, Outlet store",Las Vegas,True,NV,USA,1,182,1.5546961216389046
1,Vasanta Bhavan Vegetarian Restaurant | Al Nahda Dubai,1,25.2966737,55.3768005,939.0,3.9,1,Vegetarian restaurant,Dubai,True,United Arab Emirates,United Arab Emirates,1,154,0.29394640455245147
1,Dictionary Stationery,1,25.374798,55.4035772,4.0,4.0,0,"Book store, Stationery store",Sharjah,True,United Arab Emirates,United Arab Emirates,1,20,0.29538776903173314
1,Maral Dental Center,1,25.2635466,55.3225072,64.0,4.7,1,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dentist, Emergency dental service, Pain management physician, Pediatric dentist, Teeth whitening service",Dubai,True,United Arab Emirates,United Arab Emirates,1,48,0.2930975322851952
1,A Novel Escape Bookstore,1,35.1820702,-83.3801,102.0,4.7,1,"Book store, Used book store",Franklin,True,NC,USA,1,20,1.0027425065085713
0,Glenrothes,1,56.1955486,-3.1694619,39.0,3.8,0,Bus station,Glenrothes,True,United Kingdom,United Kingdom,0,492,0.49520381814759007
0,ALKHAN public park,1,25.3186829,55.3742459,1.0,5.0,0,Park,Sharjah,False,United Arab Emirates,United Arab Emirates,0,181,0.2942964092344085
1,Electrican and Plumber Work in dubai al quoz,1,25.3087968,55.3701814,2.0,5.0,0,Residents association,Sharjah,True,United Arab Emirates,United Arab Emirates,1,30,0.294110265341464
0,PREWAG Objektmanagement,1,50.1103225,8.6783289,32.0,4.4,1,Real estate agency,Frankfurt,True,Germany,Germany,1,42,0.30155970082405964
1,Kontar Beauty Center,1,25.297541,55.3722007,86.0,4.6,1,"Beauty salon, Beautician, Beauty school, Eyelash salon, Facial spa, Make-up artist, Nail salon, Tattoo artist, Training centre",Sharjah,True,United Arab Emirates,United Arab Emirates,1,44,0.29393521012654467
1,The Mirchi Blu South Indian Night Club,1,25.258563,55.2962416,1.0,5.0,0,Night club,Dubai,True,United Arab Emirates,United Arab Emirates,1,207,0.29287042668869406
1,Police Scotland,1,55.7719951,-3.9173889,32.0,4.4,0,Police station,Wishaw,True,United Kingdom,United Kingdom,0,50,0.5080536125009147
1,Rattlesnake Point Conservation Area (Reservations Required),1,43.471371,-79.912705,1000.0,4.7,1,"Campground, Hiking area, Picnic ground, Tourist attraction",Milton,True,"ON, Canada",Canada,0,108,0.9778724916454357
1,Zad Al Khair Bakery,1,25.2907871,55.4408976,32.0,4.4,0,Bakery,Sharjah,False,United Arab Emirates,United Arab Emirates,1,445,0.29420714781268054
1,AL HIDAYA SUPERMARKET L.L.C,1,25.2612477,55.2998093,2.0,5.0,1,Supermarket,Dubai,True,United Arab Emirates,United Arab Emirates,1,427,0.2929345014937191
1,"Raro Motor Car, LLC",1,41.3207747,-73.08881339999999,18.0,4.3,1,Used car dealer,Derby,True,CT,USA,1,8,0.8530061085386806
1,Coca-Cola Arena P2 Parking,1,25.201974,55.2652042,3.0,4.7,1,Parking lot,Dubai,True,United Arab Emirates,United Arab Emirates,0,226,0.29176254277159114
1,Holland Flowers زهور هولندا,1,25.2666358,55.3127884,12.0,4.4,1,Florist,Dubai,False,United Arab Emirates,United Arab Emirates,1,223,0.29309513675474413
1,Ramada Hotel Frankfurt,1,50.1083202,8.6696584,66.0,3.7,1,Hotel,Frankfurt,True,Germany,Germany,0,132,0.3017146023797742
1,MUMUSO Sahara Centre,1,25.298192,55.371934,4.0,4.0,1,Home goods store,Sharjah,False,United Arab Emirates,United Arab Emirates,1,249,0.2939445017917683
1,Al Yasmin Businessmen Services ( Branch 1),1,25.3552392,55.3894391,10.0,4.5,1,"Consultant, Health insurance agency, Typing service",Sharjah,True,United Arab Emirates,United Arab Emirates,1,496,0.29498563530213073
1,EDV - REMBISCH,1,50.1238,8.576749999999999,32.0,4.4,1,Computer store,Frankfurt,False,Germany,Germany,0,165,0.3031850759365872
1,ENOC | 1069 | Al Warqaa,1,25.1929918,55.4114151,26.0,4.2,1,"Gas station, Convenience store",Dubai,True,United Arab Emirates,United Arab Emirates,1,492,0.29242551097555003
1,or more Cafe & Bakery,1,25.2843317,51.4308085,81.0,4.7,1,Cafe,Ar-Rayyan,False,Qatar,Qatar,1,426,0.27953400849147547
1,Sandy Museum,1,40.5927088,-111.886035,39.0,4.4,1,"Museum, Tourist attraction",Sandy,True,UT,USA,1,82,1.5090117742595122
1,Talent Furniture Trading,1,25.2707794,55.3754398,32.0,4.4,0,Furniture store,Dubai,False,United Arab Emirates,United Arab Emirates,1,61,0.2935104378608887
1,Schildersbedrijf Damen,1,52.1121884,5.253801999999999,3.0,2.0,0,Painter,Huis ter Heide,False,Netherlands,Netherlands,0,81,0.3520693605195544
1,JCPenney,1,35.2491969,-91.6928033,530.0,4.0,1,"Clothing store, Department store, Furniture store, Jewelry store, Shoe store",Searcy,True,AR,USA,1,418,1.1463866856576639
0,New Covenant Fivefold Ministry Church,1,50.1091093,8.6649167,32.0,4.4,0,Church,Frankfurt,False,Germany,Germany,0,188,0.30178961134874255
1,ENOC | 1030 | Al Mamzar,1,25.2933889,55.3525556,14.0,3.5,1,"Convenience store, Gas station, Fast food restaurant, Food court",Dubai,True,United Arab Emirates,United Arab Emirates,1,427,0.2937576067304593
1,Live Life In Tents,1,46.3406096,-61.0964101,344.0,4.8,1,"Campground, Equipment rental agency, Hostel, Tour operator",Margaree Forks,True,"NS, Canada",Canada,0,108,0.6974647974320787
1,Hangover Nightclub,1,25.2592927,55.2874843,91.0,3.6,1,Disco club,Dubai,True,United Arab Emirates,United Arab Emirates,1,32,0.2928344547892466
1,Vivant Beauty Salon,1,25.2285787,55.4324683,22.0,4.8,1,Beauty salon,Dubai,True,United Arab Emirates,United Arab Emirates,1,44,0.2931319013154572
1,Sedumworld,1,52.0833875,5.1395252,1.0,5.0,1,Roofing contractor,Utrecht,True,Netherlands,Netherlands,1,338,0.3541174588936393
1,GFX Holdings - Trading and Consulting,1,25.3200205,55.4585821,32.0,4.4,1,Accounting firm,Sharjah,True,United Arab Emirates,United Arab Emirates,1,78,0.294789585113031
1,Ocean Casino Resort,1,39.362815,-74.41577269999999,1000.0,4.4,1,"Casino, Resort hotel, Event venue, Hotel",Atlantic City,True,NJ,USA,0,132,0.865262870452417
1,La Calidad Bakery,1,40.6559554,-73.5821575,207.0,4.4,0,Bakery,Freeport,True,NY,USA,1,445,0.8576775514829063
1,Al Madina General Trading,1,23.6593495,53.7269161,46.0,4.2,1,"Supermarket, Convenience store, Department store, Discount supermarket, Grocery delivery service, Hypermarket, Produce market, Wholesale grocer",Abu Dhabi,True,United Arab Emirates,United Arab Emirates,1,427,0.2583318320758505
1,Car Buyers Online,1,-27.4325481,153.08711209999998,208.0,4.8,1,Used car dealer,Eagle Farm QLD,True,Australia,Australia,1,8,1.7601142773079494
1,IOWHE University (Dubai front office),1,25.2211161,55.2809098,1.0,3.0,1,University,Dubai,False,United Arab Emirates,United Arab Emirates,0,430,0.29216585597253125
1,Aannemersbedrijf sint jago,1,52.1384169,5.2398093,1.0,5.0,1,Painter,Den Dolder,True,Netherlands,Netherlands,1,81,0.3522407097516626
0,Cemetery Kaichen,1,50.2516273,8.8378225,32.0,4.4,1,Cemetery,Niddatal,False,Germany,Germany,0,190,0.29817600916572984
1,HomeGoods,1,47.3169196,-122.3112921,440.0,4.4,1,"Department store, Bathroom supply store, Bedding store, Furniture store, Home goods store, Kitchen supply store, Linens store, Outdoor furniture store",Federal Way,True,WA,USA,1,277,1.7102084238618804
1,AL OMDAH PAINTING & DECOR WORKS L.L.Check,1,25.3939022,55.5120217,32.0,4.4,0,Painter,Ajman,True,United Arab Emirates,United Arab Emirates,1,81,0.296311208163998
0,Royal Hospital,1,25.315427,55.518147,36.0,3.4,1,Hospital,Sharjah,True,United Arab Emirates,United Arab Emirates,0,7,0.2950504346716274
1,Bunny Bakery,1,25.1667968,55.4151641,13.0,4.8,0,Bakery,Dubai,True,United Arab Emirates,United Arab Emirates,1,445,0.2920138257623455
0,Dubai,1,25.232264,55.2839717,1.0,5.0,0,Gas station,Dubai,False,United Arab Emirates,United Arab Emirates,0,492,0.2923673574544045
1,Raven Rock State Park,1,35.4635101,-78.91357409999999,1000.0,4.8,1,"State park, Hiking area, Park, Picnic ground, Tourist attraction",Lillington,True,NC,USA,1,181,0.9267102623118942
1,SNS Bank,1,52.0854069,5.240853,7.0,4.7,1,"Bank, Finance broker, Financial consultant, Financial institution, Financial planner, Insurance broker, Mortgage broker, Mortgage lender, Savings bank, Tax consultant",Zeist,True,Netherlands,Netherlands,1,78,0.3523647348923554
1,Global Accounting Practitioners L.L.C,1,25.3531442,55.4044019,2.0,5.0,0,Accounting firm,Sharjah,True,United Arab Emirates,United Arab Emirates,1,78,0.29503411416285635
1,Karl Datz Inhaber Hans-Jürgen Datz,1,50.1115064,8.676694699999999,32.0,4.4,0,Real estate agency,Frankfurt,False,Germany,Germany,0,42,0.3015808540080609
1,Lush Saloon,1,25.2902285,55.3656893,110.0,4.5,0,"Beauty salon, Nail salon",Dubai,True,United Arab Emirates,United Arab Emirates,1,44,0.29377807209685447
1,Bar West,1,55.7778233,-4.052641599999999,372.0,4.3,1,"Bar & grill, Restaurant",Hamilton,True,United Kingdom,United Kingdom,1,320,0.5104157433801868
1,CEYO Crystal Eyes Trading,1,25.2719646,55.3069486,233.0,4.8,1,"Orthopedic shoe store, Footwear wholesaler, Wholesaler",Dubai,True,United Arab Emirates,United Arab Emirates,1,182,0.2931512705273503
0,Sixteen,1,25.290135,55.347109,2.0,4.5,0,Shoe store,Dubai,False,United Arab Emirates,United Arab Emirates,0,182,0.2936736123924222
0,Terry Bleu - Riso & screen-printing + bookstore,1,52.353306,4.8987279,14.0,4.9,1,Book store,Amsterdam,True,Netherlands,Netherlands,1,20,0.35758317552010294
0,BLUE PLATE RESTAURANT,1,23.6593048,53.7344991,2.0,3.0,0,Restaurant,Abu Dhabi,False,United Arab Emirates,United Arab Emirates,0,426,0.25836429347865403
1,OMEGA Boutique - Al Ghurair Mall,1,25.267808,55.317481,3.0,5.0,1,"Watch store, Boutique, Clock repair service, Clock and watch maker, Fashion accessories store, Jeweler, Jewelry store, Leather goods store, Watch manufacturer, Watch repair service",Dubai,True,United Arab Emirates,United Arab Emirates,1,232,0.2931403942045429
1,Animal Care Center,1,30.4762844,-90.4976106,267.0,4.8,1,"Veterinarian, Animal hospital, Pet boarding service, Pet groomer, Veterinary pharmacy",Hammond,True,LA,USA,1,180,1.1169364834044144
0,مجلس عبدالله بن حميد بوعوانه المنصوري,1,23.6600181,53.713352,32.0,4.4,0,Council,Abu Dhabi,False,United Arab Emirates,United Arab Emirates,0,251,0.25828387354705556
1,MOMOSTREET RESTAURANT - Al Nahda Dubai,1,25.2956948,55.3721963,529.0,4.6,0,"Family restaurant, Bar & grill, Chinese restaurant, Indian restaurant, Momo restaurant, Nepalese restaurant",Dubai,True,United Arab Emirates,United Arab Emirates,1,230,0.2939046369017715
1,Sahara Hostels and Private Rooms,1,25.2856285,55.4009622,32.0,4.4,1,Serviced accommodation,Dubai,True,United Arab Emirates,United Arab Emirates,0,417,0.2938982555745086
0,Sun Downar,1,25.2606331,55.3228629,14.0,3.7,0,Karaoke bar,Dubai,False,United Arab Emirates,United Arab Emirates,0,32,0.29305125056424325
0,RV Park,1,25.2048493,55.2707828,32.0,4.4,0,Campground,Dubai,False,United Arab Emirates,United Arab Emirates,0,108,0.29184077308717327
1,NEX DIAMONDS,1,50.1170854,8.6724144,2.0,5.0,1,"Diamond dealer, Diamond buyer, Jeweler, Jewelry designer, Jewelry store",Frankfurt,True,Germany,Germany,1,241,0.3016235205964855
1,"Aster Pharmacy - Century Mall, Mamzar",1,25.2896355,55.346984,36.0,4.6,1,"Pharmacy, Baby store, Beauty product supplier, Beauty supply store, Cosmetics store, Drug store, Sports nutrition store, Vitamin & supplements store",Dubai,True,United Arab Emirates,United Arab Emirates,1,44,0.29366465240139095
1,VRS Painting Contracting Est,1,25.2761222,55.3113642,3.0,4.7,0,Painting,Dubai,True,United Arab Emirates,United Arab Emirates,1,81,0.2932444219797203
1,Kamran Travel & Tourism,1,25.2694109,55.3156759,37.0,4.7,1,Travel agency,Dubai,True,United Arab Emirates,United Arab Emirates,1,13,0.2931569972386747
1,AlSamt Majlis & Museum,1,25.1830813,55.2333077,1.0,5.0,0,Museum,Dubai,True,United Arab Emirates,United Arab Emirates,1,82,0.2912749738778612
1,Julphar Drug Store,1,25.33799,55.402586,9.0,3.7,0,Drug store,Sharjah,False,United Arab Emirates,United Arab Emirates,0,363,0.29477332411945056
1,Bait Alnuhas Trading LLC - High-Quality Fasteners Supplier,1,25.273561,55.3128129,2.0,5.0,0,"Fastener supplier, Building materials store, Hardware store, Industrial equipment supplier, Metal supplier",Dubai,True,United Arab Emirates,United Arab Emirates,1,258,0.2932099709912927
1,YAB LEGAL SERVICES,1,25.3542798,55.3908793,71.0,4.7,1,"Legal services, Civil law attorney, Criminal justice attorney, Debt collecting, Divorce lawyer, Family law attorney, Insurance attorney, Law firm, Real estate attorney",Sharjah,True,United Arab Emirates,United Arab Emirates,1,373,0.29497775298852974
1,KHAT AL ASEEL RENT A CAR L.L.C,1,25.3344961,55.4055051,32.0,4.4,0,Renter's insurance agency,Sharjah,False,United Arab Emirates,United Arab Emirates,0,267,0.29473178697693037
1,Al Diplomacy Insurance Services LLC,1,25.3448187,55.3861552,83.0,2.8,1,Insurance broker,Sharjah,True,United Arab Emirates,United Arab Emirates,1,267,0.2947949778172636
1,Jeweler Gold Gelber GmbH,1,50.1147143,8.6747692,74.0,4.6,1,Jeweler,Frankfurt,True,Germany,Germany,1,92,0.3015964485593733
1,Latina Shoes,1,25.3546764,55.3864987,4.0,3.8,0,Shoe store,Sharjah,True,United Arab Emirates,United Arab Emirates,1,182,0.2949600088279708
1,Used Car Dealership - Rebuilt Car Outlet,1,39.9109415,-75.2570666,5.0,4.2,0,Used car dealer,Darby,True,PA,USA,1,8,0.8819886934631577
0,"First Abu Dhabi Bank (FAB) | Elite Centre - Avenue Mall Digital Branch, Dubai",1,25.1441875,55.3466875,32.0,4.4,1,Bank,Dubai,True,United Arab Emirates,United Arab Emirates,1,203,0.2912563647360793
1,ZOOM | 5,1,25.2460278,55.33875,32.0,4.4,1,"Convenience store, Coffee shop, Deli, Grocery store, Salad shop, Sandwich shop, Soft drinks shop",Dubai,True,United Arab Emirates,United Arab Emirates,1,427,0.29289725422730994
0,Al Twar Parking island near High school,1,25.265569,55.372622,32.0,4.4,0,Garden,Dubai,False,United Arab Emirates,United Arab Emirates,0,77,0.29340856780569263
1,BEANSTALK RESTAURANT,1,25.2997467,55.3804005,132.0,3.2,0,"Restaurant, Cafe, Fast food restaurant",Sharjah,True,United Arab Emirates,United Arab Emirates,1,426,0.2940172524497448
1,"Farmers Home Furniture | Americus, GA",1,32.071857,-84.21150639999999,124.0,4.6,1,"Furniture store, Appliance store, Electronics store, Home goods store, Lawn mower store, Mattress store",Americus,True,GA,USA,1,61,1.0100150704111854
1,H&H FLOWERS AND PETS TRADING LLC,1,25.2571418,55.2860399,21.0,4.7,0,Pet store,Dubai,True,United Arab Emirates,United Arab Emirates,1,390,0.2927908949847338
1,Le Royal Méridien Abu Dhabi,1,24.4961438,54.3655691,1000.0,4.3,1,"Hotel, Meeting planning service, Wedding venue",Abu Dhabi,True,United Arab Emirates,United Arab Emirates,0,132,0.2753572620919846
1,Emarat- Safiyah,1,25.2787,55.3442702,487.0,4.0,1,"Gas station, Convenience store",Dubai,True,United Arab Emirates,United Arab Emirates,1,492,0.2934686188593661
1,Chaabi Bank Nederland,1,52.3706541,4.8698929,135.0,3.8,1,Bank,Amsterdam,True,Netherlands,Netherlands,1,203,0.3580394889294585
1,Godiva,1,55.9468359,-3.1979484,46.0,4.8,1,"Women's clothing store, Designer clothing store, Vintage clothing store",Edinburgh,True,United Kingdom,United Kingdom,1,418,0.49556914301696625
1,"Aster Pharmacy - Abuhail, Aster Clinic",1,25.2805665,55.3518056,65.0,4.4,1,"Pharmacy, Baby store, Beauty product supplier, Beauty supply store, Cosmetics store, Drug store, Health and beauty shop, Sports nutrition store, Vitamin & supplements store",Dubai,True,United Arab Emirates,United Arab Emirates,1,44,0.29354121726669136
1,Play World Casino Wormer,1,52.4923079,4.797666,45.0,3.8,1,"Casino, Video arcade",Wormer,True,Netherlands,Netherlands,1,88,0.35900123766540903
1,Flugticketprofis,1,50.1191094,8.6795294,11.0,4.5,0,Travel agency,Frankfurt,True,Germany,Germany,1,13,0.3014944449720294
1,Hala Pharmacy LLC - Branch 45,1,25.2995275,55.373638,510.0,4.9,1,Pharmacy,Sharjah,True,United Arab Emirates,United Arab Emirates,1,415,0.2939760596692392
0,Al Setenat Laundry,1,25.3069786,55.3713202,2.0,2.5,0,Laundry,Sharjah,False,United Arab Emirates,United Arab Emirates,0,118,0.2940864933869579
1,Womelsdorf Community Library,1,40.3638251,-76.186894,25.0,4.7,1,Public library,Womelsdorf,True,PA,USA,1,248,0.8997666919867043
1,Wunderbar,1,55.8596236,-4.2536729,1000.0,3.9,1,"Cocktail bar, Bar, Pizza restaurant, Pub, Restaurant",Glasgow,True,United Kingdom,United Kingdom,1,32,0.5139532331392843
1,Hommerson Casinos Vlaardingen,1,51.9096841,4.3395011,134.0,3.6,1,Casino,Vlaardingen,True,Netherlands,Netherlands,1,88,0.36838190126957426
1,Geldmaat,1,52.0797756,5.4847896,32.0,4.4,1,"Bank, ATM",Scherpenzeel,True,Netherlands,Netherlands,1,203,0.3481745892622499
1,ALHILAL ALJAMEEL COMMERCIAL BROKERGE L.L.C,1,25.2644188,55.3222376,32.0,4.4,0,"Jewelry store, Real estate agency",Dubai,False,United Arab Emirates,United Arab Emirates,0,432,0.2931104881529299
1,Dubai Police K9 Section,1,25.1519718,55.5110759,6.0,5.0,1,"Government office, State police",Dubai,True,United Arab Emirates,United Arab Emirates,1,311,0.2923139119217362
1,Castle Douglas Police Station,1,54.9407973,-3.9283315,32.0,4.4,1,Police department,Castle Douglas,True,United Kingdom,United Kingdom,1,50,0.508171891670595
1,Arsago ACM GmbH,1,50.1145331,8.6767734,1.0,1.0,1,Real estate agency,Frankfurt,False,Germany,Germany,0,42,0.3015639571299479
